Dia;Mes;Ano;Clasificacion;Asunto ;Descripcion;Gasto;Ingreso
9;Diciembre;2016;Ocio;BarUni;Bocata Haway;3.30  ;0
11;Diciembre;2016;Transporte;BilmanBus;Billetaje Bilbao-Valencia ida y vuelta;68.38  ;0
17;Diciembre;2016;Ocio;Kebap;Menu pedrata grande;6.50  ;0
17;Diciembre;2016;Gastos;TodoACien;3 Tipex 2 lapices 2H;3.00  ;0
23;Diciembre;2016;Caprichos;Steam;Insurgency;1.99  ;0
25;Diciembre;2016;Regalos;Estrenas;Estrenas abuela AnaMari de navidad;0;200.00  
25;Diciembre;2016;Regalos;Estrenas;Eatrenas Papa de navidad ;0;130.00  
26;Diciembre;2016;Regalos;Estrenas;Estrenas mama de navidad;0;100.00  
26;Diciembre;2016;Banco;Abono de intereses;Abono de intereses;0;1.20  
27;Diciembre;2016;Caprichos;Steam;Planetary Aniquilations Titans;5.54  ;0
1;Enero;2017;Salario;Pension;Pension de David;0;300.00  
2;Enero;2017;Regalos;Regalo;Regalo de Navidad de Sstella;12.90  ;0
2;Enero;2017;Transporte;Renfe;Ida a Carcaixent_Valencia;3.70  ;0
2;Enero;2017;Gastos;Farmacia;Frenadol;7.95  ;0
2;Enero;2017;Ocio;Comida/Cena;Cena restaurante japones KIOTO;24.28  ;0
3;Enero;2017;Transporte;Renfe;Ida a Valencia_Carcaixent;3.70  ;0
6;Enero;2017;Regalos;Estrenas;Estrenas Tio Pablo de navidad;0;70.00  
10;Enero;2017;Transporte;Metro;Recarga Barick;10.00  ;0
13;Enero;2017;Ocio;Comida/Cena;Muffing;2.00  ;0
19;Enero;2017;Gastos;Compras;tijeras de uñas;1.00  ;0
20;Enero;2017;Ocio;Comida/Cena;2 Perritos calientes con cebolla;2.00  ;0
21;Enero;2017;Ocio;Comida/Cena;Dominos Pizza - come y veve para 2;7.00  ;0
25;Enero;2017;Transporte;Metro;Recarga Barick;10.00  ;0
26;Enero;2017;Gastos;Reprografia;Libro de matematicas algebra;10.00  ;0
27;Enero;2017;Ocio;Comida/Cena;Bar Uni;3.60  ;0
31;Enero;2017;Transporte;Metro;Recarga Barick;10.00  ;0
31;Enero;2017;Gastos;Reprografia;Libro de...;15.05  ;0
31;Enero;2017;Ocio;Comida/Cena;Bar Uni;4.00  ;0
1;Febrero;2017;Salario;Pension;Pension de David;0;200.00  
1;Febrero;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
4;Febrero;2017;Gastos;Compras;Compra semanal;56.93  ;0
4;Febrero;2017;Compras;Compras;Basurero cesto chinos;17.70  ;0
10;Febrero;2017;Gastos;Compras;Compra semanal;9.83  ;0
11;Febrero;2017;Ocio;Comida/Cena;2 x Cerveza con limon Pozas40;4.00  ;0
11;Febrero;2017;Gastos;Compras;2 x Pizzas;4.73  ;0
11;Febrero;2017;Ocio;Comida/Cena;Moscato;3.00  ;0
12;Febrero;2017;Gastos;Compras;Papel higiénico;2.00  ;0
14;Febrero;2017;Ocio;Comida/Cena;hamburguesa;5.20  ;0
16;Febrero;2017;Gastos;Compras;Compra semanal;10.96  ;0
19;Febrero;2017;Ocio;Comida/Cena;2 x Cerveza con limon billar;4.00  ;0
20;Febrero;2017;Gastos;Compras;Compra semanal;35.18  ;0
23;Febrero;2017;Gastos;Compras;Compra semanal;12.52  ;0
24;Febrero;2017;Estudios;Universidad;Tasa matricula;460.56  ;0
1;Marzo;2017;Salario;Pension;Pension de David;0;200.00  
1;Marzo;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
2;Marzo;2017;Gastos;Compras;Galletas reyenas;1.78  ;0
6;Marzo;2017;Gastos;Compras;Compra semanal;12.76  ;0
10;Marzo;2017;Transporte;Metro;Recarga Barick;10.00  ;0
13;Marzo;2017;Gastos;Compras;Compra semanal;23.28  ;0
13;Marzo;2017;Ocio;Fiesta;Concierto melendi;38.20  ;0
17;Marzo;2017;Ocio;Comida/Cena;Bar Uni;3.60  ;0
18;Marzo;2017;Caprichos;Regalo;Pack Principiante Clash Royale;9.99  ;0
20;Marzo;2017;Gastos;Compras;Compra semanal;12.62  ;0
28;Marzo;2017;Gastos;Compras;Compra semanal;17.21  ;0
31;Marzo;2017;Ocio;Comida/Cena;Bar Uni;3.60  ;0
1;Abril;2017;Salario;Pension;Pension de David;0;200.00  
1;Abril;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
1;Abril;2017;Transporte;BilmanBus;ida y vuelta Bilvao-Valencia por pascuas;68.38  ;0
6;Abril;2017;Gastos;Compras;Compra semanasl;22.63  ;0
6;Abril;2017;Gastos;Compras;Suministros para el biaje;3.80  ;0
